cluster_id,cluster_length,cluster_max_cat,lag,RESP_TOTAL,baseline_mean,delta_vs_baseline
131,3,emergencia,3,4.0,8.5,-4.5
131,3,emergencia,4,1.0,8.5,-7.5
131,3,emergencia,5,6.0,8.5,-2.5
135,4,preemergencia,0,3.0,3.0,0.0
135,4,preemergencia,3,5.0,3.0,2.0
135,4,preemergencia,4,13.0,3.0,10.0
135,4,preemergencia,5,4.0,3.0,1.0
135,4,preemergencia,6,7.0,3.0,4.0
149,4,preemergencia,0,13.0,5.0,8.0
149,4,preemergencia,1,1.0,5.0,-4.0
149,4,preemergencia,2,18.0,5.0,13.0
149,4,preemergencia,3,18.0,5.0,13.0
149,4,preemergencia,4,3.0,5.0,-2.0
149,4,preemergencia,5,5.0,5.0,0.0
151,4,emergencia,0,7.0,7.333333333333333,-0.33333333333333304
151,4,emergencia,1,10.0,7.333333333333333,2.666666666666667
151,4,emergencia,2,2.0,7.333333333333333,-5.333333333333333
151,4,emergencia,3,2.0,7.333333333333333,-5.333333333333333
155,2,emergencia,0,46.0,,
155,2,emergencia,1,54.0,,
155,2,emergencia,2,74.0,,
155,2,emergencia,3,65.0,,
155,2,emergencia,4,75.0,,
155,2,emergencia,5,90.0,,
155,2,emergencia,6,73.0,,
157,3,emergencia,0,54.0,,
157,3,emergencia,1,70.0,,
157,3,emergencia,2,92.0,,
157,3,emergencia,3,86.0,,
157,3,emergencia,4,95.0,,
157,3,emergencia,5,95.0,,
157,3,emergencia,6,64.0,,
159,2,emergencia,0,103.0,114.0,-11.0
159,2,emergencia,1,89.0,114.0,-25.0
159,2,emergencia,2,78.0,114.0,-36.0
159,2,emergencia,3,75.0,114.0,-39.0
159,2,emergencia,4,77.0,114.0,-37.0
159,2,emergencia,5,68.0,114.0,-46.0
159,2,emergencia,6,70.0,114.0,-44.0
169,2,preemergencia,0,53.0,49.666666666666664,3.3333333333333357
169,2,preemergencia,1,58.0,49.666666666666664,8.333333333333336
169,2,preemergencia,2,29.0,49.666666666666664,-20.666666666666664
169,2,preemergencia,3,49.0,49.666666666666664,-0.6666666666666643
169,2,preemergencia,4,38.0,49.666666666666664,-11.666666666666664
169,2,preemergencia,5,39.0,49.666666666666664,-10.666666666666664
169,2,preemergencia,6,60.0,49.666666666666664,10.333333333333336
175,2,preemergencia,0,154.0,139.66666666666666,14.333333333333343
175,2,preemergencia,1,117.0,139.66666666666666,-22.666666666666657
175,2,preemergencia,2,88.0,139.66666666666666,-51.66666666666666
175,2,preemergencia,3,92.0,139.66666666666666,-47.66666666666666
175,2,preemergencia,4,131.0,139.66666666666666,-8.666666666666657
175,2,preemergencia,5,133.0,139.66666666666666,-6.666666666666657
175,2,preemergencia,6,173.0,139.66666666666666,33.33333333333334
177,2,emergencia,0,68.0,101.0,-33.0
177,2,emergencia,1,76.0,101.0,-25.0
177,2,emergencia,2,68.0,101.0,-33.0
177,2,emergencia,3,59.0,101.0,-42.0
177,2,emergencia,4,49.0,101.0,-52.0
177,2,emergencia,5,86.0,101.0,-15.0
177,2,emergencia,6,56.0,101.0,-45.0
179,2,preemergencia,0,49.0,67.66666666666667,-18.66666666666667
179,2,preemergencia,1,86.0,67.66666666666667,18.33333333333333
179,2,preemergencia,2,56.0,67.66666666666667,-11.666666666666671
179,2,preemergencia,3,48.0,67.66666666666667,-19.66666666666667
179,2,preemergencia,4,54.0,67.66666666666667,-13.666666666666671
179,2,preemergencia,5,55.0,67.66666666666667,-12.666666666666671
179,2,preemergencia,6,40.0,67.66666666666667,-27.66666666666667
181,5,emergencia,0,40.0,52.333333333333336,-12.333333333333336
181,5,emergencia,1,56.0,52.333333333333336,3.6666666666666643
181,5,emergencia,2,49.0,52.333333333333336,-3.3333333333333357
181,5,emergencia,3,39.0,52.333333333333336,-13.333333333333336
181,5,emergencia,4,36.0,52.333333333333336,-16.333333333333336
181,5,emergencia,5,42.0,52.333333333333336,-10.333333333333336
181,5,emergencia,6,33.0,52.333333333333336,-19.333333333333336
187,2,emergencia,0,33.0,22.0,11.0
187,2,emergencia,2,30.0,22.0,8.0
187,2,emergencia,3,30.0,22.0,8.0
187,2,emergencia,4,20.0,22.0,-2.0
187,2,emergencia,6,32.0,22.0,10.0
189,3,preemergencia,0,32.0,32.0,0.0
189,3,preemergencia,2,28.0,32.0,-4.0
189,3,preemergencia,3,39.0,32.0,7.0
189,3,preemergencia,4,29.0,32.0,-3.0
189,3,preemergencia,5,34.0,32.0,2.0
197,3,emergencia,0,48.0,52.666666666666664,-4.666666666666664
197,3,emergencia,1,64.0,52.666666666666664,11.333333333333336
197,3,emergencia,2,95.0,52.666666666666664,42.333333333333336
197,3,emergencia,3,81.0,52.666666666666664,28.333333333333336
197,3,emergencia,4,63.0,52.666666666666664,10.333333333333336
197,3,emergencia,5,74.0,52.666666666666664,21.333333333333336
197,3,emergencia,6,77.0,52.666666666666664,24.333333333333336
199,4,emergencia,0,69.0,87.5,-18.5
199,4,emergencia,1,102.0,87.5,14.5
199,4,emergencia,2,103.0,87.5,15.5
199,4,emergencia,3,77.0,87.5,-10.5
199,4,emergencia,4,110.0,87.5,22.5
199,4,emergencia,5,90.0,87.5,2.5
201,3,preemergencia,0,90.0,87.0,3.0
201,3,preemergencia,1,77.0,87.0,-10.0
201,3,preemergencia,2,59.0,87.0,-28.0
201,3,preemergencia,3,54.0,87.0,-33.0
201,3,preemergencia,4,55.0,87.0,-32.0
201,3,preemergencia,5,68.0,87.0,-19.0
203,2,preemergencia,0,54.0,75.33333333333333,-21.33333333333333
203,2,preemergencia,1,55.0,75.33333333333333,-20.33333333333333
203,2,preemergencia,2,68.0,75.33333333333333,-7.333333333333329
203,2,preemergencia,5,84.0,75.33333333333333,8.666666666666671
205,4,preemergencia,0,72.0,66.0,6.0
205,4,preemergencia,2,51.0,66.0,-15.0
205,4,preemergencia,3,36.0,66.0,-30.0
205,4,preemergencia,4,53.0,66.0,-13.0
205,4,preemergencia,6,53.0,66.0,-13.0
207,2,preemergencia,0,37.0,48.0,-11.0
207,2,preemergencia,1,34.0,48.0,-14.0
207,2,preemergencia,2,45.0,48.0,-3.0
207,2,preemergencia,3,32.0,48.0,-16.0
207,2,preemergencia,5,30.0,48.0,-18.0
207,2,preemergencia,6,39.0,48.0,-9.0
215,2,preemergencia,0,53.0,57.0,-4.0
215,2,preemergencia,1,50.0,57.0,-7.0
215,2,preemergencia,2,83.0,57.0,26.0
215,2,preemergencia,3,68.0,57.0,11.0
215,2,preemergencia,4,55.0,57.0,-2.0
215,2,preemergencia,6,49.0,57.0,-8.0
217,2,emergencia,0,103.0,73.5,29.5
217,2,emergencia,4,79.0,73.5,5.5
217,2,emergencia,5,90.0,73.5,16.5
217,2,emergencia,6,99.0,73.5,25.5
225,2,emergencia,0,69.0,91.0,-22.0
225,2,emergencia,1,98.0,91.0,7.0
225,2,emergencia,2,86.0,91.0,-5.0
225,2,emergencia,4,110.0,91.0,19.0
225,2,emergencia,5,113.0,91.0,22.0
225,2,emergencia,6,101.0,91.0,10.0
